"Disparities in Perimyotis subflavus body mass between cave and culvert hibernacula in Georgia, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ferrall, E.A.1,2, S. Perea1, K.M. Morris2, P.E. Pattavina3, B.J. Irwin4, J. Hepinstall-Cymerman1, and S.B. Castleberry1*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1Warnell School of Forestry and Natural Resources, University of Georgia, 180 E Green Street, Athens, GA 30602, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2Wildlife Conservation Section, Georgia Department of Natural Resources, Highway 278 SE Social Circle, GA 30025, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3United States Fish and Wildlife Service, Ecological Services, 355 East Hancock Avenue Room 320, Athens, GA, 30601, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4U.S. Geological Survey, Georgia Cooperative Fish & Wildlife Unit, Warnell School of Forestry and Natural Resources, University of Georgia, Athens, GA 30602, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,site_num,site,date,type,timing,num_boxes,length_m,width_m,height_m,Latitude,Longitide,utmN,roost,species,age,sex,repro_status,mass,FA,Pd_area,Pd_known,vis_WNS,bat_temp,WDI,band_num,band_type,year,mass_loss,prop.loss
4,27,Savannah Culvert,3/15/2022,Culvert,Late,3,42.9768,1.2192,1.2192,31.869735,-81.334284,3526044.971,WH,PESU,A,M,NR,4.66,33.06,Pd_neg,,No,16.5,0,GA2308,Recap,2022,-0.71,0.132216015
20,372,Emanuel County Creek Culvert,3/16/2022,Culvert,Late,3,86.868,3.048,2.4384,32.407955,-82.330166,3586433.465,HC,PESU,A,M,NR,4.91,32.5,Pd_neg,,No,20.9,0P,GA2332,Recap,2022,-0.8,0.140105079
110,358,Scuffle Creek Culvert,3/17/2022,Culvert,Late,2,88.0872,1.524,1.8288,32.630035,-83.383176,3612781.208,WH,PESU,A,M,NR,4.91,32.62,Pd_pos,Pd_pos,No,13.5,0,GA2318,Recap,2022,-0.8,0.140105079
105,358,Scuffle Creek Culvert,3/17/2022,Culvert,Late,2,88.0872,1.524,1.8288,32.630035,-83.383176,3612781.208,CK,PESU,A,M,NR,4.83,35,Pd_pos,Pd_pos,No,19.1,0,GA2255,Recap,2022,-0.79,0.140569395
34,127,Buck Creek Culvert,2/24/2020,Culvert,Late,3,153.6192,2.7432,2.4384,33.69182728,-85.09502982,3735520.332,,PESU,A,F,NR,6,35,Pd_pos,,No,NA,0,GA0929,Recap,2020,-1,0.142857143
54,127,Buck Creek Culvert,3/18/2022,Culvert,Late,3,153.6192,2.7432,2.4384,33.69182728,-85.09502982,3735520.332,HC,PESU,A,M,NR,5.64,34,Pd_pos,,No,11.5,0P,GA2267,Recap,2022,-0.97,0.146747352
45,127,Buck Creek Culvert,2/23/2021,Culvert,Late,3,153.6192,2.7432,2.4384,33.69182728,-85.09502982,3735520.332,SW,PESU,A,M,NR,4.26,30.78,Pd_pos,,No,8.9,0,GA0624,Recap,2021,-0.74,0.148
18,372,Emanuel County Creek Culvert,3/16/2022,Culvert,Late,3,86.868,3.048,2.4384,32.407955,-82.330166,3586433.465,SW,PESU,A,M,NR,4.49,32,Pd_neg,,No,19.6,0P,GA2218,Recap,2022,-0.79,0.149621212
115,385,Harris Little Creek Culvert,3/21/2022,Culvert,Late,2,117.6528,2.1336,2.1336,32.74272,-85.01847,3629914.937,SW,PESU,A,M,NR,5.17,32,Pd_pos,Pd_pos,No,15.8,0,GA2189,Recap,2022,-0.91,0.149671053
98,238,Red Creek Culvert,3/16/2022,Culvert,Late,4,64.9224,2.7432,2.7432,33.08629498,-83.9924132,3664836.993,HC,PESU,A,M,NR,5.53,34,Pd_pos,Pd_pos,No,13.6,0,GA2737,Recap,2022,-0.98,0.150537634
